SampleID,MAP,MAT,pH,AP,AK,TN,TP,TK,OM,NH_N,NO_N
YiYangRU2,109.0183333,18.18,5.28,124.02,241.73,2,0.14,1.47,32.928,0.76,5.66
YiYangRU3,109.0183333,18.18,5.05,131.27,208.08,1.9,0.11,1.66,33.101,4.83,8.77
HRRU1,98.20666667,18.26,6.54,10.45,144.32,1,0.11,1.68,25.86,0.02,0.83
HRRU2,98.20666667,18.26,6.65,7.66,130.1,0.8,0.11,1.73,24.998,-0.03,3.11
HRRU3,98.20666667,18.26,6.69,9.35,124.88,1,0.09,0.94,26.205,-0.11,5.07
QJRU1,85.87583333,17.8,6.73,5.81,106.28,1,0.09,1.5,16.723,0.09,7.43
QJRU2,85.87583333,17.8,6.71,9.55,99.39,1,0.09,1.81,14.826,0.22,9.66
QJRU3,85.87583333,17.8,6.73,9.17,60.85,1,0.1,1.88,16.378,-0.08,3.57
XGRU1,90.10583333,17.71,6.34,24.17,191.21,1.2,0.1,1.79,17.068,-0.05,2.55
XGRU2,90.10583333,17.71,5.92,35.98,292.26,1.3,0.08,1.75,19.309,0.33,13.78
XGRU3,90.10583333,17.71,5.63,24.85,181.49,1.2,0.05,2.11,19.481,0.17,5.58
XYRU1,84.42583333,15.99,5.8,10.81,137.56,1.2,0.07,1.48,18.447,0.67,14.92
XYRU2,84.42583333,15.99,5.16,11.32,165.97,1.1,0.1,1.72,18.102,47.18,70.6
XYRU3,84.42583333,15.99,5.79,7.39,142.34,1.1,0.06,1.44,18.102,0.38,6.55
LHRU1,65.73166667,16.39,6.61,17.24,185.78,1.3,0.07,1.54,23.102,0.09,17.45
LHRU2,65.73166667,16.39,4.56,42.85,156.48,1.2,0.08,1.62,21.205,17.31,30.14
LHRU3,63.98083333,16,6.12,23.55,190.84,0.9,0.14,1.84,33.963,0.07,5.91
YYRU1,49.0875,16.51,6.73,29.53,225.96,0.9,0.12,1.71,32.584,-0.04,3.83
YYRU2,49.6525,16,6.89,33.19,219.17,0.9,0.11,1.78,32.584,0.31,5.88
YYRU3,49.0875,16.51,7.02,18.74,124.21,0.6,0.09,1.69,27.756,0,2.4
HDRU1,49.27583333,15.21,7,23.01,137.63,1.5,0.18,1.58,42.928,-0.12,5.01
HDRU2,49.27583333,15.21,7.04,29.77,143.77,1.4,0.17,1.72,43.79,0,7.16
HDRU3,49.27583333,15.21,7.05,19,111.5,1.4,0.15,1.82,42.238,-0.2,9.85
XJRU1,39.77166667,14.78,6.88,36.62,107.55,1.2,0.16,2.02,38.962,-0.15,40.09
XJRU2,39.77166667,14.78,7.17,15.18,157.92,1.3,0.17,1.99,43.1,-0.13,20.15
XJRU3,39.77166667,14.78,7.54,41.52,117.04,1.2,0.12,1.84,37.928,-0.18,10.91
BZRU1,49.28333333,13.89,7.48,30.33,159.99,1,0.18,1.67,32.928,-0.08,27.04
BZRU2,49.28333333,13.89,7.58,19.1,127.55,1,0.17,1.74,32.928,-0.11,8.07
BZRU3,49.28333333,13.89,7.56,18.77,114.42,0.9,0.15,2.19,33.101,-0.14,7.81
QHDRU1,52.12666667,11.8,7.43,9.78,80.76,0.7,0.08,2.03,10.861,0.12,6.61
QHDRU2,52.12666667,11.8,7.26,56.41,99.27,1,0.12,2.25,15.688,0.24,10.05
QHDRU3,52.12666667,11.8,7.37,56.73,56.79,0.7,0.09,1.96,11.034,0.47,9.56
PJRU1,42.34,10.49,7.15,24.79,218.36,0.9,0.08,2.35,14.654,0.15,22.45
PJRU2,42.34,10.49,7.11,25.17,186.97,0.5,0.06,2.61,7.586,0.32,62.18
PJRU3,42.135,10.49,7.2,24.42,184.64,0.5,0.07,2.77,8.448,0.16,6.58
SYSRU1,48.92583333,9.62,6.7,132.8,329.81,1.5,0.12,2.17,22.24,115.53,45.28
SYSRU2,48.92583333,9.62,6.66,40.87,171.61,1.1,0.08,1.64,22.412,1.79,12.97
SYSRU3,48.92583333,9.62,6.14,54.14,182.84,1.2,0.08,1.4,21.378,5.33,6.6
SPRU1,50.7575,7.5,5.98,70.86,134.65,1.3,0.1,1.7,24.136,0.28,53.4
SPRU2,50.7575,7.5,5.99,41.98,121.65,1.1,0.08,2.16,23.446,0.02,10.26
SPRU3,50.99916667,7.45,6.12,58.14,137.91,1.1,0.08,2.13,22.584,-0.1,15.34
DHRU1,56.88,6.31,6.21,51.3,208.71,1.4,0.1,2.03,29.308,0.26,5.68
DHRU2,56.88,6.31,5.62,85.16,265.1,1.4,0.13,1.78,27.756,1.91,65.73
DHRU3,56.88,6.31,5.26,89.61,185.16,1.3,0.11,1.89,28.791,0.53,12.64
HLRU1,56.34916667,3.05,5.56,99.29,188.82,3.4,0.18,1.95,79.649,0.04,11.66
HLRU2,56.34916667,3.05,5.58,124.91,253.47,2.2,0.17,1.73,56.202,0.13,11.89
