OIUID	Kingdom	Phylum	Class	Order	Family	Genus
ITS_Otu6086	Fungi	Ascomycota	p__Ascomycota_unclassified	p__Ascomycota_unclassified	p__Ascomycota_unclassified	p__Ascomycota_unclassified
ITS_Otu6087	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes
ITS_Otu6088	Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
ITS_Otu6089	Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
ITS_Otu6090	Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
ITS_Otu6091	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Arthrobotrys
ITS_Otu6092	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	o__Sebacinales_unclassified	o__Sebacinales_unclassified
ITS_Otu6093	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Pochonia
ITS_Otu6094	Fungi	Zygomycota	Zygomycota_class_Incertae_sedis	Mortierellales	Mortierellaceae	Mortierella
ITS_Otu6095	Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
ITS_Otu6096	Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
ITS_Otu6097	Fungi	Ascomycota	p__Ascomycota_unclassified	p__Ascomycota_unclassified	p__Ascomycota_unclassified	p__Ascomycota_unclassified
ITS_Otu6098	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora
ITS_Otu6099	Fungi	Basidiomycota	Agaricomycetes	Agaricales	o__Agaricales_unclassified	o__Agaricales_unclassified
ITS_Otu6100	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Neurospora
ITS_Otu6101	Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
ITS_Otu6102	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe
ITS_Otu6103	Fungi	Basidiomycota	p__Basidiomycota_unclassified	p__Basidiomycota_unclassified	p__Basidiomycota_unclassified	p__Basidiomycota_unclassified
ITS_Otu6104	Fungi	Ascomycota	p__Ascomycota_unclassified	p__Ascomycota_unclassified	p__Ascomycota_unclassified	p__Ascomycota_unclassified
ITS_Otu6105	Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
ITS_Otu6106	Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
ITS_Otu6107	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	f__Clavicipitaceae_unclassified
ITS_Otu6108	Fungi	Ascomycota	Dothideomycetes	Pleosporales	o__Pleosporales_unclassified	o__Pleosporales_unclassified
ITS_Otu6109	Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
ITS_Otu6110	Fungi	Ascomycota	p__Ascomycota_unclassified	p__Ascomycota_unclassified	p__Ascomycota_unclassified	p__Ascomycota_unclassified
ITS_Otu6111	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora
ITS_Otu6112	Fungi	Ascomycota	p__Ascomycota_unclassified	p__Ascomycota_unclassified	p__Ascomycota_unclassified	p__Ascomycota_unclassified
ITS_Otu6113	Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
ITS_Otu6114	Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
ITS_Otu6115	Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
ITS_Otu6116	Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
